NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3827413.261,460992.019,5064269.684,0.000,0.000,0.000,0,1
L1,3827411.242,460991.776,5064271.222,0.000,2.550,0.000,2,3
L2,3827411.923,460994.124,5064270.498,2.250,1.350,0.000,4,5
L3,3827414.061,460994.382,5064268.870,2.250,-1.350,0.000,6,7
L4,3827415.280,460992.262,5064268.146,0.000,-2.550,0.000,8,9
L5,3827414.599,460989.914,5064268.870,-2.250,-1.350,0.000,10,11
L6,3827412.461,460989.656,5064270.498,-2.250,1.350,0.000,12,13
L7,3827416.083,460996.417,5064267.168,4.029,-4.172,0.000,14,15
L8,3827417.795,460992.973,5064266.195,0.405,-5.786,0.000,16,17
L9,3827417.385,460989.082,5064266.854,-3.409,-4.692,0.000,18,19
L10,3827415.045,460986.565,5064268.838,-5.628,-1.403,0.000,20,21
L11,3827411.871,460986.601,5064271.217,-5.213,2.543,0.000,22,23
L12,3827409.347,460989.171,5064272.880,-2.359,5.299,0.000,24,25
L13,3827408.655,460993.075,5064273.046,1.599,5.575,0.000,26,27
L14,3827410.118,460996.483,5064271.640,4.808,3.243,0.000,28,29
L15,3827413.051,460997.803,5064269.319,5.768,-0.606,0.000,30,31
L16,3827413.577,461001.278,5064268.610,9.155,-1.782,0.000,32,33
L17,3827416.498,461000.785,5064266.462,8.316,-5.343,0.000,34,35
L18,3827419.857,460997.779,5064264.212,4.930,-9.073,0.000,36,37
L19,3827421.323,460990.667,5064263.754,-2.307,-9.832,0.000,38,39
L20,3827420.757,460987.568,5064264.459,-5.316,-8.663,0.000,40,41
L21,3827418.728,460984.251,5064266.282,-8.366,-5.640,0.000,42,43
L22,3827415.500,460983.100,5064268.810,-9.123,-1.449,0.000,44,45
L23,3827410.867,460983.742,5064272.229,-7.931,4.221,0.000,46,47
L24,3827407.339,460985.841,5064274.688,-5.425,8.297,0.000,48,49
L25,3827405.512,460989.693,5064275.711,-1.382,9.993,0.000,50,51
L26,3827405.850,460993.577,5064275.106,2.433,8.990,0.000,52,53
L27,3827407.487,460997.847,5064273.491,6.477,6.313,0.000,54,55
L28,3827410.352,461000.638,5064271.089,8.905,2.329,0.000,56,57
L29,3827414.856,461006.063,5064267.217,13.752,-4.091,0.000,58,59
L30,3827417.877,461005.271,5064265.021,12.605,-7.732,0.000,60,61
L31,3827419.778,461003.120,5064263.789,10.242,-9.776,0.000,62,63
L32,3827423.115,460996.103,5064261.918,2.876,-12.877,0.000,64,65
L33,3827425.116,460994.325,5064260.577,0.871,-15.101,0.000,66,67
L34,3827423.418,460987.283,5064262.488,-5.917,-11.932,0.000,68,69
L35,3827421.318,460983.095,5064264.443,-9.824,-8.690,0.000,70,71
L36,3827419.304,460978.568,5064266.364,-14.077,-5.505,0.000,72,73
L37,3827416.624,460979.015,5064268.335,-13.313,-2.236,0.000,74,75
L38,3827412.821,460979.066,5064271.185,-12.807,2.489,0.000,76,77
L39,3827407.442,460981.411,5064275.011,-9.836,8.833,0.000,78,79
L40,3827405.475,460982.857,5064276.356,-8.165,11.064,0.000,80,81
L41,3827403.433,460987.656,5064277.455,-3.156,12.886,0.000,82,83
L42,3827401.259,460990.934,5064278.791,0.358,15.101,0.000,84,85
L43,3827403.249,460999.276,5064276.543,8.403,11.373,0.000,86,87
L44,3827405.267,461002.215,5064274.763,11.079,8.421,0.000,88,89
L45,3827408.603,461005.543,5064271.958,13.984,3.770,0.000,90,91
L46,3827453.989,461029.691,5064235.708,32.530,-56.340,0.000,92,93
L47,3827445.761,460939.187,5064250.064,-56.340,-32.530,0.000,94,95
